SpeciesName,ScientificName,Count,Date,Observer,Location
Indian Leopard,Panthera pardus fusca,,,,Bandipur National Park
Nilgiri Tahr,Nilgiritragus hylocrius,,,,Eravikulam National Park
Blackbuck,Antilope cervicapra,,,,Velavadar National Park
Indian Wild Ass,Equus hemionus khur,,,,"Wild Ass Sanctuary, Little Rann of Kutch"
Gharial,Gavialis gangeticus,,,,National Chambal Sanctuary
Indian Bison (Gaur),Bos gaurus,,,,Nagarhole National Park
Red Panda,Ailurus fulgens,,,,Singalila National Park
Indian Pangolin,Manis crassicaudata,,,,Daroji Sloth Bear Sanctuary
Sloth Bear,Melursus ursinus,,,,Daroji Sloth Bear Sanctuary
Indian Peafowl,Pavo cristatus,,,,Keoladeo National Park
Great Indian Bustard,Ardeotis nigriceps,,,,Desert National Park
Lion-tailed Macaque,Macaca silenus,,,,Silent Valley National Park
Golden Langur,Trachypithecus geei,,,,Manas National Park
Wild Water Buffalo,Bubalus arnee,,,,Manas National Park
Indian Wolf,Canis lupus pallipes,,,,Velavadar National Park
Himalayan Monal,Lophophorus impejanus,,,,Great Himalayan National Park
Indian Flying Fox,Pteropus medius,,,,Keoladeo National Park
Indian Star Tortoise,Geochelone elegans,,,,Bannerghatta National Park
Malabar Giant Squirrel,Ratufa indica,,,,Silent Valley National Park
Olive Ridley Turtle,Lepidochelys olivacea,,,,Gahirmatha Marine Sanctuary
Saltwater Crocodile,Crocodylus porosus,,,,Bhitarkanika National Park
Indian Gazelle (Chinkara),Gazella bennettii,,,,Desert National Park
Purple Frog,Nasikabatrachus sahyadrensis,,,,Silent Valley National Park
Mugger Crocodile,Crocodylus palustris,,,,Ranganathittu Bird Sanctuary
Greater Flamingo,Phoenicopterus roseus,,,,Nal Sarovar Bird Sanctuary
Indian Roller,Coracias benghalensis,,,,Ranthambore National Park
Black-necked Crane,Grus nigricollis,,,,Tso Kar Wetland Conservation Reserve
Sarus Crane,Antigone antigone,,,,Keoladeo National Park
Lesser Florican,Sypheotides indicus,,,,Shokaliya Abhayaranya
Indian Skimmer,Rynchops albicollis,,,,National Chambal Sanctuary
White-bellied Heron,Ardea insignis,,,,Namdapha National Park
Spot-billed Pelican,Pelecanus philippensis,,,,Kolleru Bird Sanctuary
Grey-headed Fish Eagle,Icthyophaga ichthyaetus,,,,Sundarbans National Park
Rufous-necked Hornbill,Aceros nipalensis,,,,Namdapha National Park
Dhole (Indian Wild Dog),Cuon alpinus,,,,Satpura National Park
Barasingha (Swamp Deer),Rucervus duvaucelii,,,,Kanha National Park
Fishing Cat,Prionailurus viverrinus,,,,Sundarbans National Park
Clouded Leopard,Neofelis nebulosa,,,,Dampa Tiger Reserve
Black Stork,Ciconia nigra,,,,Keoladeo National Park
Brown Fish Owl,Ketupa zeylonensis,,,,Keoladeo National Park
Painted Stork,Mycteria leucocephala,,,,Bharatpur Bird Sanctuary
Woolly-necked Stork,Ciconia episcopus,,,,Bharatpur Bird Sanctuary
Indian Courser,Cursorius coromandelicus,,,,Desert National Park
Red-headed Vulture,Sarcogyps calvus,,,,Jim Corbett National Park
Black-headed Ibis,Threskiornis melanocephalus,,,,Vedanthangal Bird Sanctuary
Indian Python,Python molurus,,,,Keoladeo National Park
King Cobra,Ophiophagus hannah,,,,Nagarhole National Park
Spectacled Cobra,Naja naja,,,,Ranthambore National Park
Russell's Viper,Daboia russelii,,,,Mudumalai National Park
Common Krait,Bungarus caeruleus,,,,Bandipur National Park
Gharial,Gavialis gangeticus,,,,National Chambal Sanctuary
Saltwater Crocodile,Crocodylus porosus,,,,Bhitarkanika National Park
Mugger Crocodile,Crocodylus palustris,,,,Ranganathittu Bird Sanctuary
Indian Star Tortoise,Geochelone elegans,,,,Bannerghatta National Park
Olive Ridley Turtle,Lepidochelys olivacea,,,,Gahirmatha Marine Sanctuary
Bengal Monitor,Varanus bengalensis,,,,Kaziranga National Park
Indian Chameleon,Chamaeleo zeylanicus,,,,Sariska National Park
Indian Flapshell Turtle,Lissemys punctata,,,,Kanha National Park
Travancore Tortoise,Indotestudo travancorica,,,,Silent Valley National Park
Black Pond Turtle,Geoclemys hamiltonii,,,,Manas National Park
Indian Spiny-tailed Lizard,Saara hardwickii,,,,Desert National Park
Banded Krait,Bungarus fasciatus,,,,Kaziranga National Park
Andaman Water Monitor,Varanus salvator andamanensis,,,,Mount Harriet National Park
Malabar Pit Viper,Trimeresurus malabaricus,,,,Silent Valley National Park
Keeled Box Turtle,Cuora mouhotii,,,,Namdapha National Park
Yellow Monitor,Varanus flavescens,,,,Kaziranga National Park
Indian Sand Boa,Eryx johnii,,,,Desert National Park
Green Sea Turtle,Chelonia mydas,,,,"Maha Beach, Galathea National Park"
Indian Tent Turtle,Pangshura tentoria,,,,Ranthambore National Park
Common Indian Monitor,Varanus bengalensis,,,,Gir National Park
Reticulated Python,Malayopython reticulatus,,,,Sundarbans National Park
Hawksbill Turtle,Eretmochelys imbricata,,,,"Maha Beach, Galathea National Park"
Red-crowned Roofed Turtle,Batagur kachuga,,,,National Chambal Sanctuary
Yellow-headed Temple Turtle,Heosemys annandalii,,,,Kaziranga National Park
